Provincie,Jaar,Bouwsector (index),Niet-bouwsector (index)
Henegouwen,2008,100.0,100.0
Henegouwen,2009,93.99,91.45
Henegouwen,2010,93.6,98.53
Henegouwen,2011,109.27,101.28
Henegouwen,2012,103.52,106.35
Henegouwen,2013,98.69,97.93
Henegouwen,2014,99.09,122.91
Henegouwen,2015,102.09,105.03
Henegouwen,2016,110.44,115.34
Henegouwen,2017,115.8,122.2
Henegouwen,2018,103.13,120.71
Henegouwen,2019,102.61,130.2
Henegouwen,2020,111.75,120.86
Henegouwen,2021,125.85,135.61
Henegouwen,2022,111.23,152.12
Henegouwen,2023,110.05,142.21
