Gewest,Jaar,Bouwsector (index),Niet-bouwsector (index)
Vlaams Gewest,2008,100.0,100.0
Vlaams Gewest,2009,87.32,94.5
Vlaams Gewest,2010,92.86,102.65
Vlaams Gewest,2011,98.92,105.42
Vlaams Gewest,2012,90.17,103.69
Vlaams Gewest,2013,82.65,95.29
Vlaams Gewest,2014,89.47,134.09
Vlaams Gewest,2015,93.24,117.2
Vlaams Gewest,2016,100.53,138.8
Vlaams Gewest,2017,107.48,141.14
Vlaams Gewest,2018,123.12,149.96
Vlaams Gewest,2019,179.35,160.96
Vlaams Gewest,2020,206.28,164.99
Vlaams Gewest,2021,231.28,181.27
Vlaams Gewest,2022,213.74,213.4
Vlaams Gewest,2023,215.41,186.09
Waals Gewest,2008,100.0,100.0
Waals Gewest,2009,86.82,93.27
Waals Gewest,2010,92.46,102.1
Waals Gewest,2011,107.24,106.65
Waals Gewest,2012,101.13,109.74
Waals Gewest,2013,93.06,104.28
Waals Gewest,2014,94.41,129.73
Waals Gewest,2015,100.04,111.78
Waals Gewest,2016,102.6,126.21
Waals Gewest,2017,110.97,128.01
Waals Gewest,2018,100.13,126.78
Waals Gewest,2019,101.56,133.69
Waals Gewest,2020,110.19,128.28
Waals Gewest,2021,128.39,143.79
Waals Gewest,2022,118.03,167.99
Waals Gewest,2023,115.13,148.42
Brussels Gewest,2008,100.0,100.0
Brussels Gewest,2009,99.9,91.36
Brussels Gewest,2010,106.78,108.7
Brussels Gewest,2011,130.83,107.0
Brussels Gewest,2012,139.47,108.45
Brussels Gewest,2013,162.18,105.59
Brussels Gewest,2014,179.75,162.82
Brussels Gewest,2015,177.6,119.14
Brussels Gewest,2016,181.19,132.11
Brussels Gewest,2017,179.24,137.39
Brussels Gewest,2018,183.45,142.21
Brussels Gewest,2019,146.87,141.66
Brussels Gewest,2020,136.9,130.41
Brussels Gewest,2021,128.78,136.4
Brussels Gewest,2022,116.86,154.08
Brussels Gewest,2023,106.37,140.98
